article_code,publisher,news
80,YouTube,"Gravitas: Petrol, Diesel prices soar in India WION Petrol, Diesel Costlier By Nearly A Rupee, 14th Hike In 16 Days NDTV Petrol, diesel prices hiked by 80 paise, total increase now Rs 10 a litre in 16 days Economic Times l "
81,CNN,"Elon Musk, Tesla's CEO who just became the largest shareholder in Twitter, has been tweeting about possible changes to the company."
82,The Verge,"After Elon Musk, the world s wealthiest man, offered to take Twitter private for roughly $43 billion, The Verge staff wondered what else he could buy with that kind of cash."
83,Gizmodo.com,"Elon Musk, who recently bought a 9.2% stake in Twitter, has made an offer to buy the company outright for $54.20 per share in cash in a hostile takeover of roughly $43 billion, according to a new from Bloomberg News and documents filed with the SEC. Musk said "
84,Slashdot.org,"The newest member of Twitter's board of directors just tweeted Is Twitter dying ? That would be Elon Musk who'd preceded the question with a list of Twitter's ten most followed accounts, noting that most of them tweet rarely and post very little content "
85,Gizmodo.com,"The cute little Twitter bird has teeth. Today, the company announced it has poisoned the local watering hole, hoping it will stall Elon Musk as he seeks to swallow up the social media company in a hostile takeover.Read more."
86,Reuters,"Tesla Inc (TSLA.O) CEO Elon Musk on Thursday stepped up criticism of the U.S. securities regulator, calling Securities and Exchange Commission officials bastards for bringing fraud charg "
87,NPR,"News broke this week that Musk had taken a 9% stake in the company, becoming its single largest shareholder. Musk polled users on whether they want the ability to edit their tweets."
88,CP24 Toronto's Breaking News,Tesla CEO Elon Musk won't join Twitter's board after all CP24 Toronto's Breaking News Elon Musk drops out of Twitter board Business News Latest English News WION WION What happens now that Elon Musk is not joining Twitter's 
89,Ctvnews.ca,Musk no longer joining Twitter board of directors CTV News Elon Musk declines to join Twitter board of directors Fox Business Elon Musk proposes Twitter Blue subscription shakeup days after disclosing 9.2% stake The Globe and Ma 
90,Ctvnews.ca,What happens now that Elon Musk is not joining Twitter's board ? CTV News Elon Musk drops out of Twitter board Business News Latest English News WION WION Tesla CEO Elon Musk won't join Twitter's board after all Business N 
91,Business Insider, Looking forward to working with Parag & Twitter board to make significant improvements to Twitter in coming months! Musk said.
92,The Guardian,"Musk has long advocated a libertarian vision of an uncontrolled internet. That s also the dream of every dictator, strongman and demagogueThe Russian people know little about Putin s war on Ukraine because Putin has blocked their access to the truth, substi "
93,Reuters,"Twitter s (TWTR.N) history is as rich in plot twists as a soap opera, but the short lived episode of Elon Musk joining and then deciding not to join the social media firm s board has once "
94,The Guardian,"Analysis: Musk s past musings about Twitter show desire to reshape essence of its business model Elon Musk offers to buy Twitter for more than $40bn It turns out he wasn t in goblin mode after all. Last week Elon musk, in his characteristica "
95,Reuters,Twitter (TWTR.N) hasn t wasted time. After Tesla (TSLA.O) Chief Executive Elon Musk disclosed a 9% stake in the rough 
96,The Guardian,"The Tesla boss now has a 9.2% stake in the social network and offers suggestions and criticisms in a series of tweetsElon Musk has set out his vision for Twitter after buying a 9.2% stake in the company, in a series of posts on the social network described by "
97,,
98,dfsjdlkf,skdlfjldsvf dfkldlgkjdfkjgk jdskfldjkvdf jskdfkfkklsd
